datetime,Global_active_power,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,dayofweek,month,is_weekend
2007-01-15,1.4921375,2.0902126476719944,1.5565,1.9090305555555556,3.0534747474747475,1.60500240204838,0.42100322408366797,1.5446176692781584,0.5016323343155361,1.7626589996213595,0.6268661866902505,0,1,0
2007-01-16,1.1711138888888888,1.4921375,1.2979541666666667,0.8814138888888889,2.354486111111111,1.5958077591912372,0.42293744632866886,1.5148395938813326,0.4905881970767174,1.710614424705535,0.5789881994496872,1,1,0
2007-01-17,1.977561111111111,1.1711138888888888,1.496388888888889,0.7042041666666666,1.5304347222222223,1.5776877195086974,0.4401905403852615,1.5355324510241901,0.46737586951435445,1.6711686839647941,0.5738978583779114,2,1,0
2007-01-18,1.2649041666666667,1.977561111111111,1.5661069444444444,2.2634805555555553,1.1570791666666667,1.6464266083975863,0.4623887715980509,1.6264865184845074,0.41400374123125944,1.686072896927757,0.5759193552314281,3,1,0
2007-01-19,1.0280833333333335,1.2649041666666667,1.014788888888889,1.8842805555555555,1.5456583333333334,1.603397640143618,0.48459053797398505,1.5551596335638727,0.3804797903763236,1.6896670635944238,0.5728323820506459,4,1,0
2007-01-20,2.1762027777777777,1.0280833333333335,2.2130652777777775,1.047484722222222,1.193757997218359,1.6052968464928246,0.48191786603755515,1.4940026891194282,0.3921410421815161,1.6724145635944236,0.5849844163829455,5,1,1
2007-01-21,2.366154166666667,2.1762027777777777,2.0902126476719944,1.6997361111111111,1.6259291666666669,1.6000307750642533,0.4743110746807551,1.5746254073733965,0.4089468753295934,1.7051627229464044,0.5847638324616781,6,1,1
2007-01-22,1.5142319444444445,2.366154166666667,1.4921375,1.5565,3.314851388888889,1.639450992063492,0.5300338168076576,1.622226697055936,0.4602032024953188,1.729836889613071,0.5967983761104099,0,1,0
2007-01-23,1.2344722222222222,1.5142319444444445,1.1711138888888888,1.2979541666666667,1.7708416666666669,1.6426073412698412,0.5290752764523298,1.6192075502305394,0.4608058237020402,1.669816241464923,0.5171213735156788,1,1,0
2007-01-24,2.074898611111111,1.2344722222222222,1.977561111111111,1.496388888888889,1.9049444444444443,1.651658531746032,0.5201311726121443,1.6146731256273645,0.464507661204187,1.6519372599834414,0.5227496754610468,2,1,0
2007-01-25,1.1085722222222223,2.074898611111111,1.2649041666666667,1.5661069444444444,2.7320208333333333,1.665563888888889,0.5314735460930863,1.6559952486432379,0.47869107285841217,1.6576023988723303,0.5264936168144416,3,1,0
2007-01-26,1.1235916666666665,1.1085722222222223,1.0280833333333335,1.014788888888889,1.0616388888888888,1.643230753968254,0.5539261236088255,1.6233141970559362,0.5004249124348591,1.6034874451686265,0.49472655784146974,4,1,0
